28/09/20 07:21:30 INFO  [pacman.optimization.PacmanOptimization] Evaluation [1]: PacmanOptimizationConfiguration(ghosts=1, dotsPercentage=35, bigDots=1, lives=5, gamePlayTimeout=28484)
28/09/20 07:21:53 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=5, gamePlayTime=23085, configuredTimeout=28484) with score: 4146
28/09/20 07:21:53 INFO  [pacman.optimization.PacmanOptimization] We have a new best solution.
28/09/20 07:21:53 INFO  [pacman.optimization.PacmanOptimization] Evaluation [2]: PacmanOptimizationConfiguration(ghosts=2, dotsPercentage=35, bigDots=1, lives=5, gamePlayTimeout=28484)
28/09/20 07:22:17 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=4, gamePlayTime=23986, configuredTimeout=28484) with score: 4255
28/09/20 07:22:17 INFO  [pacman.optimization.PacmanOptimization] We have a new best solution.
28/09/20 07:22:17 INFO  [pacman.optimization.PacmanOptimization] Evaluation [3]: PacmanOptimizationConfiguration(ghosts=1, dotsPercentage=35, bigDots=1, lives=4, gamePlayTimeout=28484)
28/09/20 07:22:28 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=46, lives=0, gamePlayTime=11002, configuredTimeout=28484) with score: 2365
28/09/20 07:22:28 INFO  [pacman.optimization.PacmanOptimization] Evaluation [4]: PacmanOptimizationConfiguration(ghosts=1, dotsPercentage=35, bigDots=2, lives=5, gamePlayTimeout=28484)
28/09/20 07:22:46 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=5, gamePlayTime=18177, configuredTimeout=28484) with score: 4096
28/09/20 07:22:46 INFO  [pacman.optimization.PacmanOptimization] Evaluation [5]: PacmanOptimizationConfiguration(ghosts=1, dotsPercentage=36, bigDots=1, lives=5, gamePlayTimeout=28484)
28/09/20 07:23:07 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=5, gamePlayTime=20164, configuredTimeout=28484) with score: 4116
28/09/20 07:23:07 INFO  [pacman.optimization.PacmanOptimization] Evaluation [6]: PacmanOptimizationConfiguration(ghosts=1, dotsPercentage=34, bigDots=1, lives=5, gamePlayTimeout=28484)
28/09/20 07:23:33 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=3, gamePlayTime=26086, configuredTimeout=28484) with score: 4376
28/09/20 07:23:33 INFO  [pacman.optimization.PacmanOptimization] We have a new best solution.
28/09/20 07:23:33 INFO  [pacman.optimization.PacmanOptimization] Evaluation [7]: PacmanOptimizationConfiguration(ghosts=1, dotsPercentage=35, bigDots=1, lives=5, gamePlayTimeout=28584)
28/09/20 07:23:52 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=4, gamePlayTime=19586, configuredTimeout=28584) with score: 4210
28/09/20 07:23:52 INFO  [pacman.optimization.PacmanOptimization] Evaluation [8]: PacmanOptimizationConfiguration(ghosts=1, dotsPercentage=35, bigDots=1, lives=5, gamePlayTimeout=28384)
28/09/20 07:24:14 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=3, gamePlayTime=21886, configuredTimeout=28384) with score: 4335
28/09/20 07:24:14 INFO  [pacman.optimization.PacmanOptimization] Evaluation [9]: PacmanOptimizationConfiguration(ghosts=1, dotsPercentage=35, bigDots=1, lives=5, gamePlayTimeout=28484)
28/09/20 07:24:38 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=4, gamePlayTime=24272, configuredTimeout=28484) with score: 4257
28/09/20 07:24:38 INFO  [pacman.optimization.PacmanOptimization] Evaluation [10]: PacmanOptimizationConfiguration(ghosts=2, dotsPercentage=35, bigDots=1, lives=5, gamePlayTimeout=28484)
28/09/20 07:25:01 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=4, gamePlayTime=22235, configuredTimeout=28484) with score: 4237
28/09/20 07:25:01 INFO  [pacman.optimization.PacmanOptimization] Evaluation [11]: PacmanOptimizationConfiguration(ghosts=1, dotsPercentage=35, bigDots=1, lives=4, gamePlayTimeout=28484)
28/09/20 07:25:22 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=3, gamePlayTime=21202, configuredTimeout=28484) with score: 4327
28/09/20 07:25:22 INFO  [pacman.optimization.PacmanOptimization] Evaluation [12]: PacmanOptimizationConfiguration(ghosts=1, dotsPercentage=35, bigDots=2, lives=5, gamePlayTimeout=28484)
28/09/20 07:25:35 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=5, gamePlayTime=13572, configuredTimeout=28484) with score: 4050
28/09/20 07:25:35 INFO  [pacman.optimization.PacmanOptimization] Evaluation [13]: PacmanOptimizationConfiguration(ghosts=1, dotsPercentage=36, bigDots=1, lives=5, gamePlayTimeout=28484)
28/09/20 07:25:56 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=4, gamePlayTime=20688, configuredTimeout=28484) with score: 4222
28/09/20 07:25:56 INFO  [pacman.optimization.PacmanOptimization] Evaluation [14]: PacmanOptimizationConfiguration(ghosts=1, dotsPercentage=34, bigDots=1, lives=5, gamePlayTimeout=28484)
28/09/20 07:26:15 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=4, gamePlayTime=19242, configuredTimeout=28484) with score: 4207
28/09/20 07:26:15 INFO  [pacman.optimization.PacmanOptimization] Evaluation [15]: PacmanOptimizationConfiguration(ghosts=1, dotsPercentage=35, bigDots=1, lives=5, gamePlayTimeout=28584)
28/09/20 07:26:35 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=5, gamePlayTime=19686, configuredTimeout=28584) with score: 4111
28/09/20 07:26:35 INFO  [pacman.optimization.PacmanOptimization] Evaluation [16]: PacmanOptimizationConfiguration(ghosts=1, dotsPercentage=35, bigDots=1, lives=5, gamePlayTimeout=28384)
28/09/20 07:26:56 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=5, gamePlayTime=21004, configuredTimeout=28384) with score: 4126
28/09/20 07:26:56 INFO  [pacman.optimization.PacmanOptimization] Evaluation [17]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=27, bigDots=4, lives=5, gamePlayTimeout=14202)
28/09/20 07:27:06 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=1, lives=0, gamePlayTime=10105, configuredTimeout=14202) with score: 2949
28/09/20 07:27:06 INFO  [pacman.optimization.PacmanOptimization] Evaluation [18]: PacmanOptimizationConfiguration(ghosts=4, dotsPercentage=27, bigDots=4, lives=5, gamePlayTimeout=14202)
28/09/20 07:27:20 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=12, lives=5, gamePlayTime=14203, configuredTimeout=14202) with score: 3080
28/09/20 07:27:20 INFO  [pacman.optimization.PacmanOptimization] Evaluation [19]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=27, bigDots=4, lives=4, gamePlayTimeout=14202)
28/09/20 07:27:34 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=3, gamePlayTime=14001, configuredTimeout=14202) with score: 4397
28/09/20 07:27:34 INFO  [pacman.optimization.PacmanOptimization] We have a new best solution.
28/09/20 07:27:34 INFO  [pacman.optimization.PacmanOptimization] Evaluation [20]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=27, bigDots=5, lives=5, gamePlayTimeout=14202)
28/09/20 07:27:44 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=21, lives=0, gamePlayTime=9301, configuredTimeout=14202) with score: 2740
28/09/20 07:27:44 INFO  [pacman.optimization.PacmanOptimization] Evaluation [21]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=27, bigDots=3, lives=5, gamePlayTimeout=14202)
28/09/20 07:27:55 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=1, lives=0, gamePlayTime=11060, configuredTimeout=14202) with score: 2958
28/09/20 07:27:55 INFO  [pacman.optimization.PacmanOptimization] Evaluation [22]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=28, bigDots=4, lives=5, gamePlayTimeout=14202)
28/09/20 07:28:04 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=8, lives=0, gamePlayTime=8685, configuredTimeout=14202) with score: 2864
28/09/20 07:28:04 INFO  [pacman.optimization.PacmanOptimization] Evaluation [23]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=26, bigDots=4, lives=5, gamePlayTimeout=14202)
28/09/20 07:28:18 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=10, lives=4, gamePlayTime=14203, configuredTimeout=14202) with score: 3200
28/09/20 07:28:18 INFO  [pacman.optimization.PacmanOptimization] Evaluation [24]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=27, bigDots=4, lives=5, gamePlayTimeout=14302)
28/09/20 07:28:32 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=30, lives=2, gamePlayTime=14303, configuredTimeout=14302) with score: 3200
