01/10/20 19:25:44 INFO  [pacman.optimization.PacmanOptimization] Evaluation [1]: PacmanOptimizationConfiguration(ghosts=4, dotsPercentage=41, bigDots=1, lives=4, gamePlayTimeout=39314)
01/10/20 19:26:08 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=1, gamePlayTime=23406, configuredTimeout=39314) with score: 4440
01/10/20 19:26:08 INFO  [pacman.optimization.PacmanOptimization] We have a new best solution.
01/10/20 19:26:08 INFO  [pacman.optimization.PacmanOptimization] Evaluation [2]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=41, bigDots=1, lives=4, gamePlayTimeout=39314)
01/10/20 19:26:31 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=2, gamePlayTime=22988, configuredTimeout=39314) with score: 4336
01/10/20 19:26:31 INFO  [pacman.optimization.PacmanOptimization] Evaluation [3]: PacmanOptimizationConfiguration(ghosts=3, dotsPercentage=41, bigDots=1, lives=4, gamePlayTimeout=39314)
01/10/20 19:26:53 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=4, lives=0, gamePlayTime=21503, configuredTimeout=39314) with score: 2781
01/10/20 19:26:53 INFO  [pacman.optimization.PacmanOptimization] Evaluation [4]: PacmanOptimizationConfiguration(ghosts=4, dotsPercentage=41, bigDots=1, lives=5, gamePlayTimeout=39314)
01/10/20 19:27:19 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=1, gamePlayTime=26523, configuredTimeout=39314) with score: 4472
01/10/20 19:27:19 INFO  [pacman.optimization.PacmanOptimization] We have a new best solution.
01/10/20 19:27:19 INFO  [pacman.optimization.PacmanOptimization] Evaluation [5]: PacmanOptimizationConfiguration(ghosts=4, dotsPercentage=41, bigDots=1, lives=3, gamePlayTimeout=39314)
01/10/20 19:27:28 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=100, lives=0, gamePlayTime=9002, configuredTimeout=39314) with score: 1696
01/10/20 19:27:28 INFO  [pacman.optimization.PacmanOptimization] Evaluation [6]: PacmanOptimizationConfiguration(ghosts=4, dotsPercentage=41, bigDots=2, lives=4, gamePlayTimeout=39314)
