18/10/20 10:12:38 INFO  [experiment.challenging.PacmanChallenging] Evaluation [1]: PacmanExperimentConfiguration(ghosts=1, dotsPercentage=42, bigDots=2, lives=5, gamePlayTimeout=33956)
18/10/20 10:12:57 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=5, gamePlayTime=18604, configuredTimeout=33956) with score: 3046
18/10/20 10:12:57 INFO  [experiment.challenging.PacmanChallenging] We have a new best solution.
18/10/20 10:12:57 INFO  [experiment.challenging.PacmanChallenging] Evaluation [2]: PacmanExperimentConfiguration(ghosts=2, dotsPercentage=42, bigDots=2, lives=5, gamePlayTimeout=33956)
18/10/20 10:13:15 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=5, gamePlayTime=18018, configuredTimeout=33956) with score: 3040
18/10/20 10:13:15 INFO  [experiment.challenging.PacmanChallenging] Evaluation [3]: PacmanExperimentConfiguration(ghosts=1, dotsPercentage=42, bigDots=2, lives=4, gamePlayTimeout=33956)
18/10/20 10:13:32 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=2, gamePlayTime=17099, configuredTimeout=33956) with score: 3331
18/10/20 10:13:32 INFO  [experiment.challenging.PacmanChallenging] We have a new best solution.
18/10/20 10:13:32 INFO  [experiment.challenging.PacmanChallenging] Evaluation [4]: PacmanExperimentConfiguration(ghosts=1, dotsPercentage=42, bigDots=3, lives=5, gamePlayTimeout=33956)
18/10/20 10:13:49 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=5, gamePlayTime=17504, configuredTimeout=33956) with score: 3035
18/10/20 10:13:49 INFO  [experiment.challenging.PacmanChallenging] Evaluation [5]: PacmanExperimentConfiguration(ghosts=1, dotsPercentage=42, bigDots=1, lives=5, gamePlayTimeout=33956)
18/10/20 10:14:11 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=5, gamePlayTime=21687, configuredTimeout=33956) with score: 3077
18/10/20 10:14:11 INFO  [experiment.challenging.PacmanChallenging] Evaluation [6]: PacmanExperimentConfiguration(ghosts=1, dotsPercentage=43, bigDots=2, lives=5, gamePlayTimeout=33956)
18/10/20 10:14:29 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=3, gamePlayTime=18273, configuredTimeout=33956) with score: 3243
18/10/20 10:14:29 INFO  [experiment.challenging.PacmanChallenging] Evaluation [7]: PacmanExperimentConfiguration(ghosts=1, dotsPercentage=41, bigDots=2, lives=5, gamePlayTimeout=33956)
18/10/20 10:14:46 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=5, gamePlayTime=16673, configuredTimeout=33956) with score: 3027
18/10/20 10:14:46 INFO  [experiment.challenging.PacmanChallenging] Evaluation [8]: PacmanExperimentConfiguration(ghosts=1, dotsPercentage=42, bigDots=2, lives=5, gamePlayTimeout=34056)
18/10/20 10:15:05 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=4, gamePlayTime=18693, configuredTimeout=34056) with score: 3146
18/10/20 10:15:05 INFO  [experiment.challenging.PacmanChallenging] Evaluation [9]: PacmanExperimentConfiguration(ghosts=1, dotsPercentage=42, bigDots=2, lives=5, gamePlayTimeout=33856)
18/10/20 10:15:23 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=3, gamePlayTime=18020, configuredTimeout=33856) with score: 3241
18/10/20 10:15:23 INFO  [experiment.challenging.PacmanChallenging] Evaluation [10]: PacmanExperimentConfiguration(ghosts=1, dotsPercentage=42, bigDots=2, lives=5, gamePlayTimeout=33956)
18/10/20 10:15:40 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=5, gamePlayTime=16802, configuredTimeout=33956) with score: 3028
18/10/20 10:15:40 INFO  [experiment.challenging.PacmanChallenging] Evaluation [11]: PacmanExperimentConfiguration(ghosts=2, dotsPercentage=42, bigDots=2, lives=5, gamePlayTimeout=33956)
18/10/20 10:16:07 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=3, gamePlayTime=27028, configuredTimeout=33956) with score: 3330
18/10/20 10:16:07 INFO  [experiment.challenging.PacmanChallenging] Evaluation [12]: PacmanExperimentConfiguration(ghosts=1, dotsPercentage=42, bigDots=2, lives=4, gamePlayTimeout=33956)
18/10/20 10:16:26 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=4, gamePlayTime=18993, configuredTimeout=33956) with score: 3150
18/10/20 10:16:26 INFO  [experiment.challenging.PacmanChallenging] Evaluation [13]: PacmanExperimentConfiguration(ghosts=1, dotsPercentage=42, bigDots=3, lives=5, gamePlayTimeout=33956)
18/10/20 10:16:40 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=4, gamePlayTime=14276, configuredTimeout=33956) with score: 3103
18/10/20 10:16:40 INFO  [experiment.challenging.PacmanChallenging] Evaluation [14]: PacmanExperimentConfiguration(ghosts=1, dotsPercentage=42, bigDots=1, lives=5, gamePlayTimeout=33956)
18/10/20 10:17:01 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=5, gamePlayTime=21314, configuredTimeout=33956) with score: 3073
18/10/20 10:17:01 INFO  [experiment.challenging.PacmanChallenging] Evaluation [15]: PacmanExperimentConfiguration(ghosts=1, dotsPercentage=43, bigDots=2, lives=5, gamePlayTimeout=33956)
18/10/20 10:17:17 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=3, gamePlayTime=15572, configuredTimeout=33956) with score: 3216
18/10/20 10:17:17 INFO  [experiment.challenging.PacmanChallenging] Evaluation [16]: PacmanExperimentConfiguration(ghosts=1, dotsPercentage=41, bigDots=2, lives=5, gamePlayTimeout=33956)
18/10/20 10:17:34 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=4, gamePlayTime=16707, configuredTimeout=33956) with score: 3127
18/10/20 10:17:34 INFO  [experiment.challenging.PacmanChallenging] Evaluation [17]: PacmanExperimentConfiguration(ghosts=1, dotsPercentage=42, bigDots=2, lives=5, gamePlayTimeout=34056)
18/10/20 10:17:50 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=5, gamePlayTime=15972, configuredTimeout=34056) with score: 3019
18/10/20 10:17:50 INFO  [experiment.challenging.PacmanChallenging] Evaluation [18]: PacmanExperimentConfiguration(ghosts=1, dotsPercentage=42, bigDots=2, lives=5, gamePlayTimeout=33856)
18/10/20 10:18:04 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=5, gamePlayTime=14701, configuredTimeout=33856) with score: 3008
18/10/20 10:18:04 INFO  [experiment.challenging.PacmanChallenging] Evaluation [19]: PacmanExperimentConfiguration(ghosts=3, dotsPercentage=39, bigDots=4, lives=1, gamePlayTimeout=33825)
18/10/20 10:18:16 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=false, dotsPresent=60, lives=0, gamePlayTime=11586, configuredTimeout=33825) with score: 3877
18/10/20 10:18:16 INFO  [experiment.challenging.PacmanChallenging] We have a new best solution.
18/10/20 10:18:16 INFO  [experiment.challenging.PacmanChallenging] Evaluation [20]: PacmanExperimentConfiguration(ghosts=4, dotsPercentage=39, bigDots=4, lives=1, gamePlayTimeout=33825)
18/10/20 10:18:20 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=false, dotsPresent=84, lives=0, gamePlayTime=4302, configuredTimeout=33825) with score: 3564
18/10/20 10:18:20 INFO  [experiment.challenging.PacmanChallenging] Evaluation [21]: PacmanExperimentConfiguration(ghosts=2, dotsPercentage=39, bigDots=4, lives=1, gamePlayTimeout=33825)
18/10/20 10:18:39 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=1, gamePlayTime=18482, configuredTimeout=33825) with score: 3446
18/10/20 10:18:39 INFO  [experiment.challenging.PacmanChallenging] Evaluation [22]: PacmanExperimentConfiguration(ghosts=3, dotsPercentage=39, bigDots=4, lives=2, gamePlayTimeout=33825)
18/10/20 10:18:57 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=false, dotsPresent=8, lives=0, gamePlayTime=17801, configuredTimeout=33825) with score: 4459
18/10/20 10:18:57 INFO  [experiment.challenging.PacmanChallenging] We have a new best solution.
18/10/20 10:18:57 INFO  [experiment.challenging.PacmanChallenging] Evaluation [23]: PacmanExperimentConfiguration(ghosts=3, dotsPercentage=39, bigDots=5, lives=1, gamePlayTimeout=33825)
18/10/20 10:18:57 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=false, dotsPresent=154, lives=0, gamePlayTime=503, configuredTimeout=33825) with score: 2826
18/10/20 10:18:57 INFO  [experiment.challenging.PacmanChallenging] Evaluation [24]: PacmanExperimentConfiguration(ghosts=3, dotsPercentage=39, bigDots=3, lives=1, gamePlayTimeout=33825)
18/10/20 10:19:05 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=false, dotsPresent=5, lives=0, gamePlayTime=8258, configuredTimeout=33825) with score: 4394
18/10/20 10:19:05 INFO  [experiment.challenging.PacmanChallenging] We have a new best solution.
18/10/20 10:19:05 INFO  [experiment.challenging.PacmanChallenging] Evaluation [25]: PacmanExperimentConfiguration(ghosts=3, dotsPercentage=40, bigDots=4, lives=1, gamePlayTimeout=33825)
18/10/20 10:19:12 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=false, dotsPresent=13, lives=0, gamePlayTime=7003, configuredTimeout=33825) with score: 4301
18/10/20 10:19:12 INFO  [experiment.challenging.PacmanChallenging] Evaluation [26]: PacmanExperimentConfiguration(ghosts=3, dotsPercentage=38, bigDots=4, lives=1, gamePlayTimeout=33825)
18/10/20 10:19:13 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=false, dotsPresent=148, lives=0, gamePlayTime=903, configuredTimeout=33825) with score: 2890
18/10/20 10:19:13 INFO  [experiment.challenging.PacmanChallenging] Evaluation [27]: PacmanExperimentConfiguration(ghosts=3, dotsPercentage=39, bigDots=4, lives=1, gamePlayTimeout=33925)
18/10/20 10:19:27 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=1, gamePlayTime=13485, configuredTimeout=33925) with score: 3395
18/10/20 10:19:27 INFO  [experiment.challenging.PacmanChallenging] Evaluation [28]: PacmanExperimentConfiguration(ghosts=3, dotsPercentage=39, bigDots=4, lives=1, gamePlayTimeout=33725)
18/10/20 10:19:29 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=false, dotsPresent=143, lives=0, gamePlayTime=2603, configuredTimeout=33725) with score: 2958
18/10/20 10:19:29 INFO  [experiment.challenging.PacmanChallenging] Evaluation [29]: PacmanExperimentConfiguration(ghosts=3, dotsPercentage=39, bigDots=4, lives=1, gamePlayTimeout=33825)
18/10/20 10:19:40 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=false, dotsPresent=50, lives=0, gamePlayTime=10493, configuredTimeout=33825) with score: 3966
18/10/20 10:19:40 INFO  [experiment.challenging.PacmanChallenging] Evaluation [30]: PacmanExperimentConfiguration(ghosts=4, dotsPercentage=39, bigDots=4, lives=1, gamePlayTimeout=33825)
18/10/20 10:19:41 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=false, dotsPresent=147, lives=0, gamePlayTime=1203, configuredTimeout=33825) with score: 2903
18/10/20 10:19:41 INFO  [experiment.challenging.PacmanChallenging] Evaluation [31]: PacmanExperimentConfiguration(ghosts=2, dotsPercentage=39, bigDots=4, lives=1, gamePlayTimeout=33825)
18/10/20 10:19:46 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=false, dotsPresent=43, lives=0, gamePlayTime=4902, configuredTimeout=33825) with score: 3980
18/10/20 10:19:46 INFO  [experiment.challenging.PacmanChallenging] Evaluation [32]: PacmanExperimentConfiguration(ghosts=3, dotsPercentage=39, bigDots=4, lives=2, gamePlayTimeout=33825)
