05/10/20 16:21:39 INFO  [pacman.optimization.PacmanOptimization] Evaluation [1]: PacmanOptimizationConfiguration(ghosts=3, dotsPercentage=42, bigDots=2, lives=4, gamePlayTimeout=29841)
05/10/20 16:21:59 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=4, lives=0, gamePlayTime=19424, configuredTimeout=29841) with score: 2855
05/10/20 16:21:59 INFO  [pacman.optimization.PacmanOptimization] We have a new best solution.
05/10/20 16:21:59 INFO  [pacman.optimization.PacmanOptimization] Evaluation [2]: PacmanOptimizationConfiguration(ghosts=4, dotsPercentage=42, bigDots=2, lives=4, gamePlayTimeout=29841)
05/10/20 16:22:19 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=2, gamePlayTime=19794, configuredTimeout=29841) with score: 4399
05/10/20 16:22:19 INFO  [pacman.optimization.PacmanOptimization] We have a new best solution.
05/10/20 16:22:19 INFO  [pacman.optimization.PacmanOptimization] Evaluation [3]: PacmanOptimizationConfiguration(ghosts=2, dotsPercentage=42, bigDots=2, lives=4, gamePlayTimeout=29841)
05/10/20 16:22:36 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=3, gamePlayTime=17179, configuredTimeout=29841) with score: 4273
05/10/20 16:22:36 INFO  [pacman.optimization.PacmanOptimization] Evaluation [4]: PacmanOptimizationConfiguration(ghosts=3, dotsPercentage=42, bigDots=2, lives=5, gamePlayTimeout=29841)
05/10/20 16:22:53 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=4, gamePlayTime=16675, configuredTimeout=29841) with score: 4168
05/10/20 16:22:53 INFO  [pacman.optimization.PacmanOptimization] Evaluation [5]: PacmanOptimizationConfiguration(ghosts=3, dotsPercentage=42, bigDots=2, lives=3, gamePlayTimeout=29841)
05/10/20 16:23:07 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=25, lives=0, gamePlayTime=13995, configuredTimeout=29841) with score: 2591
05/10/20 16:23:07 INFO  [pacman.optimization.PacmanOptimization] Evaluation [6]: PacmanOptimizationConfiguration(ghosts=3, dotsPercentage=42, bigDots=3, lives=4, gamePlayTimeout=29841)
05/10/20 16:23:29 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=2, gamePlayTime=22110, configuredTimeout=29841) with score: 4422
05/10/20 16:23:29 INFO  [pacman.optimization.PacmanOptimization] We have a new best solution.
05/10/20 16:23:29 INFO  [pacman.optimization.PacmanOptimization] Evaluation [7]: PacmanOptimizationConfiguration(ghosts=3, dotsPercentage=42, bigDots=1, lives=4, gamePlayTimeout=29841)
05/10/20 16:23:44 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=67, lives=0, gamePlayTime=14602, configuredTimeout=29841) with score: 2177
05/10/20 16:23:44 INFO  [pacman.optimization.PacmanOptimization] Evaluation [8]: PacmanOptimizationConfiguration(ghosts=3, dotsPercentage=43, bigDots=2, lives=4, gamePlayTimeout=29841)
05/10/20 16:23:58 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=16, lives=0, gamePlayTime=14504, configuredTimeout=29841) with score: 2686
05/10/20 16:23:58 INFO  [pacman.optimization.PacmanOptimization] Evaluation [9]: PacmanOptimizationConfiguration(ghosts=3, dotsPercentage=41, bigDots=2, lives=4, gamePlayTimeout=29841)
05/10/20 16:24:20 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=4, gamePlayTime=21437, configuredTimeout=29841) with score: 4215
05/10/20 16:24:20 INFO  [pacman.optimization.PacmanOptimization] Evaluation [10]: PacmanOptimizationConfiguration(ghosts=3, dotsPercentage=42, bigDots=2, lives=4, gamePlayTimeout=29941)
05/10/20 16:24:35 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=4, gamePlayTime=15483, configuredTimeout=29941) with score: 4155
05/10/20 16:24:35 INFO  [pacman.optimization.PacmanOptimization] Evaluation [11]: PacmanOptimizationConfiguration(ghosts=3, dotsPercentage=42, bigDots=2, lives=4, gamePlayTimeout=29741)
05/10/20 16:24:57 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=1, gamePlayTime=22103, configuredTimeout=29741) with score: 4523
05/10/20 16:24:57 INFO  [pacman.optimization.PacmanOptimization] We have a new best solution.
05/10/20 16:24:57 INFO  [pacman.optimization.PacmanOptimization] Evaluation [12]: PacmanOptimizationConfiguration(ghosts=3, dotsPercentage=42, bigDots=2, lives=4, gamePlayTimeout=29841)
05/10/20 16:25:09 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=44, lives=0, gamePlayTime=11803, configuredTimeout=29841) with score: 2379
05/10/20 16:25:09 INFO  [pacman.optimization.PacmanOptimization] Evaluation [13]: PacmanOptimizationConfiguration(ghosts=4, dotsPercentage=42, bigDots=2, lives=4, gamePlayTimeout=29841)
05/10/20 16:25:26 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=3, lives=0, gamePlayTime=16586, configuredTimeout=29841) with score: 2837
05/10/20 16:25:26 INFO  [pacman.optimization.PacmanOptimization] Evaluation [14]: PacmanOptimizationConfiguration(ghosts=2, dotsPercentage=42, bigDots=2, lives=4, gamePlayTimeout=29841)
05/10/20 16:25:46 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=4, gamePlayTime=20697, configuredTimeout=29841) with score: 4208
05/10/20 16:25:46 INFO  [pacman.optimization.PacmanOptimization] Evaluation [15]: PacmanOptimizationConfiguration(ghosts=3, dotsPercentage=42, bigDots=2, lives=5, gamePlayTimeout=29841)
05/10/20 16:26:06 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=2, gamePlayTime=19879, configuredTimeout=29841) with score: 4400
05/10/20 16:26:06 INFO  [pacman.optimization.PacmanOptimization] Evaluation [16]: PacmanOptimizationConfiguration(ghosts=3, dotsPercentage=42, bigDots=2, lives=3, gamePlayTimeout=29841)
