09/10/20 15:28:24 INFO  [experiment.challenging.PacmanChallenging] Evaluation [1]: PacmanExperimentConfiguration(ghosts=5, dotsPercentage=40, bigDots=5, lives=1, gamePlayTimeout=34985)
09/10/20 15:28:25 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=false, dotsPresent=159, lives=0, gamePlayTime=610, configuredTimeout=34985) with score: 2766
09/10/20 15:28:25 INFO  [experiment.challenging.PacmanChallenging] We have a new best solution.
09/10/20 15:28:25 INFO  [experiment.challenging.PacmanChallenging] Evaluation [2]: PacmanExperimentConfiguration(ghosts=4, dotsPercentage=40, bigDots=5, lives=1, gamePlayTimeout=34985)
09/10/20 15:28:26 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=false, dotsPresent=160, lives=0, gamePlayTime=505, configuredTimeout=34985) with score: 2755
09/10/20 15:28:26 INFO  [experiment.challenging.PacmanChallenging] Evaluation [3]: PacmanExperimentConfiguration(ghosts=5, dotsPercentage=40, bigDots=5, lives=2, gamePlayTimeout=34985)
09/10/20 15:28:35 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=false, dotsPresent=34, lives=0, gamePlayTime=8899, configuredTimeout=34985) with score: 4099
09/10/20 15:28:35 INFO  [experiment.challenging.PacmanChallenging] We have a new best solution.
09/10/20 15:28:35 INFO  [experiment.challenging.PacmanChallenging] Evaluation [4]: PacmanExperimentConfiguration(ghosts=5, dotsPercentage=40, bigDots=4, lives=1, gamePlayTimeout=34985)
09/10/20 15:28:37 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=false, dotsPresent=87, lives=0, gamePlayTime=2504, configuredTimeout=34985) with score: 3505
09/10/20 15:28:37 INFO  [experiment.challenging.PacmanChallenging] Evaluation [5]: PacmanExperimentConfiguration(ghosts=5, dotsPercentage=41, bigDots=5, lives=1, gamePlayTimeout=34985)
09/10/20 15:28:57 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=1, gamePlayTime=19802, configuredTimeout=34985) with score: 3448
09/10/20 15:28:57 INFO  [experiment.challenging.PacmanChallenging] Evaluation [6]: PacmanExperimentConfiguration(ghosts=5, dotsPercentage=39, bigDots=5, lives=1, gamePlayTimeout=34985)
09/10/20 15:29:00 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=false, dotsPresent=133, lives=0, gamePlayTime=3203, configuredTimeout=34985) with score: 3052
09/10/20 15:29:00 INFO  [experiment.challenging.PacmanChallenging] Evaluation [7]: PacmanExperimentConfiguration(ghosts=5, dotsPercentage=40, bigDots=5, lives=1, gamePlayTimeout=35085)
09/10/20 15:29:09 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=false, dotsPresent=62, lives=0, gamePlayTime=9002, configuredTimeout=35085) with score: 3819
09/10/20 15:29:09 INFO  [experiment.challenging.PacmanChallenging] Evaluation [8]: PacmanExperimentConfiguration(ghosts=5, dotsPercentage=40, bigDots=5, lives=1, gamePlayTimeout=34885)
09/10/20 15:29:19 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=1, gamePlayTime=9849, configuredTimeout=34885) with score: 3349
09/10/20 15:29:19 INFO  [experiment.challenging.PacmanChallenging] Evaluation [9]: PacmanExperimentConfiguration(ghosts=5, dotsPercentage=40, bigDots=5, lives=1, gamePlayTimeout=34985)
09/10/20 15:29:23 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=false, dotsPresent=90, lives=0, gamePlayTime=3687, configuredTimeout=34985) with score: 3487
09/10/20 15:29:23 INFO  [experiment.challenging.PacmanChallenging] Evaluation [10]: PacmanExperimentConfiguration(ghosts=4, dotsPercentage=40, bigDots=5, lives=1, gamePlayTimeout=34985)
09/10/20 15:29:29 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=false, dotsPresent=20, lives=0, gamePlayTime=6386, configuredTimeout=34985) with score: 4214
09/10/20 15:29:29 INFO  [experiment.challenging.PacmanChallenging] We have a new best solution.
09/10/20 15:29:29 INFO  [experiment.challenging.PacmanChallenging] Evaluation [11]: PacmanExperimentConfiguration(ghosts=5, dotsPercentage=40, bigDots=5, lives=2, gamePlayTimeout=34985)
09/10/20 15:29:46 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=false, dotsPresent=2, lives=0, gamePlayTime=16803, configuredTimeout=34985) with score: 4498
09/10/20 15:29:46 INFO  [experiment.challenging.PacmanChallenging] We have a new best solution.
09/10/20 15:29:46 INFO  [experiment.challenging.PacmanChallenging] Evaluation [12]: PacmanExperimentConfiguration(ghosts=5, dotsPercentage=40, bigDots=4, lives=1, gamePlayTimeout=34985)
09/10/20 15:29:56 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=false, dotsPresent=68, lives=0, gamePlayTime=9594, configuredTimeout=34985) with score: 3766
09/10/20 15:29:56 INFO  [experiment.challenging.PacmanChallenging] Evaluation [13]: PacmanExperimentConfiguration(ghosts=5, dotsPercentage=41, bigDots=5, lives=1, gamePlayTimeout=34985)
09/10/20 15:29:57 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=false, dotsPresent=153, lives=0, gamePlayTime=1503, configuredTimeout=34985) with score: 2835
09/10/20 15:29:57 INFO  [experiment.challenging.PacmanChallenging] Evaluation [14]: PacmanExperimentConfiguration(ghosts=5, dotsPercentage=39, bigDots=5, lives=1, gamePlayTimeout=34985)
09/10/20 15:29:58 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=false, dotsPresent=147, lives=0, gamePlayTime=1203, configuredTimeout=34985) with score: 2892
