02/10/20 19:34:25 INFO  [pacman.optimization.PacmanOptimization] Evaluation [1]: PacmanOptimizationConfiguration(ghosts=4, dotsPercentage=22, bigDots=2, lives=4, gamePlayTimeout=26913)
02/10/20 19:34:42 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=3, gamePlayTime=15438, configuredTimeout=26913) with score: 4285
02/10/20 19:34:42 INFO  [pacman.optimization.PacmanOptimization] We have a new best solution.
02/10/20 19:34:42 INFO  [pacman.optimization.PacmanOptimization] Evaluation [2]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=22, bigDots=2, lives=4, gamePlayTimeout=26913)
02/10/20 19:34:52 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=14, lives=0, gamePlayTime=10603, configuredTimeout=26913) with score: 2696
02/10/20 19:34:52 INFO  [pacman.optimization.PacmanOptimization] Evaluation [3]: PacmanOptimizationConfiguration(ghosts=3, dotsPercentage=22, bigDots=2, lives=4, gamePlayTimeout=26913)
02/10/20 19:35:14 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=4, gamePlayTime=22240, configuredTimeout=26913) with score: 4253
02/10/20 19:35:14 INFO  [pacman.optimization.PacmanOptimization] Evaluation [4]: PacmanOptimizationConfiguration(ghosts=4, dotsPercentage=22, bigDots=2, lives=5, gamePlayTimeout=26913)
02/10/20 19:35:38 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=2, gamePlayTime=23165, configuredTimeout=26913) with score: 4462
02/10/20 19:35:38 INFO  [pacman.optimization.PacmanOptimization] We have a new best solution.
02/10/20 19:35:38 INFO  [pacman.optimization.PacmanOptimization] Evaluation [5]: PacmanOptimizationConfiguration(ghosts=4, dotsPercentage=22, bigDots=2, lives=3, gamePlayTimeout=26913)
02/10/20 19:35:54 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=1, gamePlayTime=16174, configuredTimeout=26913) with score: 4492
02/10/20 19:35:54 INFO  [pacman.optimization.PacmanOptimization] We have a new best solution.
02/10/20 19:35:54 INFO  [pacman.optimization.PacmanOptimization] Evaluation [6]: PacmanOptimizationConfiguration(ghosts=4, dotsPercentage=22, bigDots=3, lives=4, gamePlayTimeout=26913)
02/10/20 19:36:09 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=5, lives=0, gamePlayTime=15501, configuredTimeout=26913) with score: 2835
02/10/20 19:36:09 INFO  [pacman.optimization.PacmanOptimization] Evaluation [7]: PacmanOptimizationConfiguration(ghosts=4, dotsPercentage=22, bigDots=1, lives=4, gamePlayTimeout=26913)
02/10/20 19:36:14 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=63, lives=0, gamePlayTime=4602, configuredTimeout=26913) with score: 2146
02/10/20 19:36:14 INFO  [pacman.optimization.PacmanOptimization] Evaluation [8]: PacmanOptimizationConfiguration(ghosts=4, dotsPercentage=23, bigDots=2, lives=4, gamePlayTimeout=26913)
02/10/20 19:36:20 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=54, lives=0, gamePlayTime=6202, configuredTimeout=26913) with score: 2252
02/10/20 19:36:20 INFO  [pacman.optimization.PacmanOptimization] Evaluation [9]: PacmanOptimizationConfiguration(ghosts=4, dotsPercentage=21, bigDots=2, lives=4, gamePlayTimeout=26913)
02/10/20 19:36:43 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=2, lives=-1, gamePlayTime=22493, configuredTimeout=26913) with score: 2935
02/10/20 19:36:43 INFO  [pacman.optimization.PacmanOptimization] Evaluation [10]: PacmanOptimizationConfiguration(ghosts=4, dotsPercentage=22, bigDots=2, lives=4, gamePlayTimeout=27013)
02/10/20 19:36:57 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=1, gamePlayTime=14876, configuredTimeout=27013) with score: 4478
02/10/20 19:36:57 INFO  [pacman.optimization.PacmanOptimization] Evaluation [11]: PacmanOptimizationConfiguration(ghosts=4, dotsPercentage=22, bigDots=2, lives=4, gamePlayTimeout=26813)
02/10/20 19:37:10 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=4, gamePlayTime=12885, configuredTimeout=26813) with score: 4160
02/10/20 19:37:10 INFO  [pacman.optimization.PacmanOptimization] Evaluation [12]: PacmanOptimizationConfiguration(ghosts=4, dotsPercentage=22, bigDots=2, lives=4, gamePlayTimeout=26913)
02/10/20 19:37:23 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=2, gamePlayTime=13091, configuredTimeout=26913) with score: 4361
02/10/20 19:37:23 INFO  [pacman.optimization.PacmanOptimization] Evaluation [13]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=22, bigDots=2, lives=4, gamePlayTimeout=26913)
02/10/20 19:37:39 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=3, gamePlayTime=15484, configuredTimeout=26913) with score: 4285
02/10/20 19:37:39 INFO  [pacman.optimization.PacmanOptimization] Evaluation [14]: PacmanOptimizationConfiguration(ghosts=3, dotsPercentage=22, bigDots=2, lives=4, gamePlayTimeout=26913)
02/10/20 19:37:52 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=3, gamePlayTime=12591, configuredTimeout=26913) with score: 4256
02/10/20 19:37:52 INFO  [pacman.optimization.PacmanOptimization] Evaluation [15]: PacmanOptimizationConfiguration(ghosts=4, dotsPercentage=22, bigDots=2, lives=5, gamePlayTimeout=26913)
02/10/20 19:38:05 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=4, gamePlayTime=13272, configuredTimeout=26913) with score: 4163
02/10/20 19:38:05 INFO  [pacman.optimization.PacmanOptimization] Evaluation [16]: PacmanOptimizationConfiguration(ghosts=4, dotsPercentage=22, bigDots=2, lives=3, gamePlayTimeout=26913)
02/10/20 19:38:16 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=10, lives=0, gamePlayTime=11201, configuredTimeout=26913) with score: 2742
02/10/20 19:38:16 INFO  [pacman.optimization.PacmanOptimization] Evaluation [17]: PacmanOptimizationConfiguration(ghosts=4, dotsPercentage=22, bigDots=3, lives=4, gamePlayTimeout=26913)
02/10/20 19:38:23 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=8, lives=0, gamePlayTime=6594, configuredTimeout=26913) with score: 2716
02/10/20 19:38:23 INFO  [pacman.optimization.PacmanOptimization] Evaluation [18]: PacmanOptimizationConfiguration(ghosts=4, dotsPercentage=22, bigDots=1, lives=4, gamePlayTimeout=26913)
02/10/20 19:38:41 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=1, gamePlayTime=18286, configuredTimeout=26913) with score: 4513
02/10/20 19:38:41 INFO  [pacman.optimization.PacmanOptimization] We have a new best solution.
02/10/20 19:38:41 INFO  [pacman.optimization.PacmanOptimization] Evaluation [19]: PacmanOptimizationConfiguration(ghosts=4, dotsPercentage=23, bigDots=2, lives=4, gamePlayTimeout=26913)
02/10/20 19:38:56 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=1, gamePlayTime=14572, configuredTimeout=26913) with score: 4476
02/10/20 19:38:56 INFO  [pacman.optimization.PacmanOptimization] Evaluation [20]: PacmanOptimizationConfiguration(ghosts=4, dotsPercentage=21, bigDots=2, lives=4, gamePlayTimeout=26913)
02/10/20 19:39:06 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=23, lives=0, gamePlayTime=9986, configuredTimeout=26913) with score: 2600
02/10/20 19:39:06 INFO  [pacman.optimization.PacmanOptimization] Evaluation [21]: PacmanOptimizationConfiguration(ghosts=4, dotsPercentage=22, bigDots=2, lives=4, gamePlayTimeout=27013)
02/10/20 19:39:11 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=43, lives=0, gamePlayTime=5201, configuredTimeout=27013) with score: 2351
02/10/20 19:39:11 INFO  [pacman.optimization.PacmanOptimization] Evaluation [22]: PacmanOptimizationConfiguration(ghosts=4, dotsPercentage=22, bigDots=2, lives=4, gamePlayTimeout=26813)
02/10/20 19:39:30 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=1, gamePlayTime=19299, configuredTimeout=26813) with score: 4524
02/10/20 19:39:30 INFO  [pacman.optimization.PacmanOptimization] We have a new best solution.
02/10/20 19:39:30 INFO  [pacman.optimization.PacmanOptimization] Evaluation [23]: PacmanOptimizationConfiguration(ghosts=4, dotsPercentage=22, bigDots=2, lives=4, gamePlayTimeout=26913)
02/10/20 19:39:43 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=3, gamePlayTime=13384, configuredTimeout=26913) with score: 4264
02/10/20 19:39:43 INFO  [pacman.optimization.PacmanOptimization] Evaluation [24]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=22, bigDots=2, lives=4, gamePlayTimeout=26913)
