18/10/20 17:42:51 INFO  [experiment.challenging.PacmanChallenging] Evaluation [1]: PacmanExperimentConfiguration(ghosts=1, dotsPercentage=24, bigDots=5, lives=1, gamePlayTimeout=14825)
18/10/20 17:42:58 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=false, dotsPresent=3, lives=0, gamePlayTime=6911, configuredTimeout=14825) with score: 4590
18/10/20 17:42:58 INFO  [experiment.challenging.PacmanChallenging] We have a new best solution.
18/10/20 17:42:58 INFO  [experiment.challenging.PacmanChallenging] Evaluation [2]: PacmanExperimentConfiguration(ghosts=2, dotsPercentage=24, bigDots=5, lives=1, gamePlayTimeout=14825)
18/10/20 17:43:06 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=false, dotsPresent=10, lives=0, gamePlayTime=7501, configuredTimeout=14825) with score: 4526
18/10/20 17:43:06 INFO  [experiment.challenging.PacmanChallenging] Evaluation [3]: PacmanExperimentConfiguration(ghosts=1, dotsPercentage=24, bigDots=5, lives=2, gamePlayTimeout=14825)
18/10/20 17:43:14 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=false, dotsPresent=24, lives=0, gamePlayTime=7802, configuredTimeout=14825) with score: 4389
18/10/20 17:43:14 INFO  [experiment.challenging.PacmanChallenging] Evaluation [4]: PacmanExperimentConfiguration(ghosts=1, dotsPercentage=24, bigDots=4, lives=1, gamePlayTimeout=14825)
18/10/20 17:43:21 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=false, dotsPresent=14, lives=0, gamePlayTime=7101, configuredTimeout=14825) with score: 4482
18/10/20 17:43:21 INFO  [experiment.challenging.PacmanChallenging] Evaluation [5]: PacmanExperimentConfiguration(ghosts=1, dotsPercentage=25, bigDots=5, lives=1, gamePlayTimeout=14825)
18/10/20 17:43:38 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=1, gamePlayTime=17514, configuredTimeout=14825) with score: 3626
18/10/20 17:43:38 INFO  [experiment.challenging.PacmanChallenging] Evaluation [6]: PacmanExperimentConfiguration(ghosts=1, dotsPercentage=23, bigDots=5, lives=1, gamePlayTimeout=14825)
18/10/20 17:43:50 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=1, gamePlayTime=11397, configuredTimeout=14825) with score: 3565
18/10/20 17:43:50 INFO  [experiment.challenging.PacmanChallenging] Evaluation [7]: PacmanExperimentConfiguration(ghosts=1, dotsPercentage=24, bigDots=5, lives=1, gamePlayTimeout=14925)
18/10/20 17:44:03 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=1, gamePlayTime=13712, configuredTimeout=14925) with score: 3587
