26/09/20 09:16:34 INFO  [pacman.optimization.PacmanOptimization] Evaluation [1]: PacmanOptimizationConfiguration(ghosts=1, dotsPercentage=38, bigDots=3, lives=1, gamePlayTimeout=74492)
26/09/20 09:17:49 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=26, lives=1, gamePlayTime=74602, configuredTimeout=74492) with score: 3341
26/09/20 09:17:49 INFO  [pacman.optimization.PacmanOptimization] We have a new best solution.
26/09/20 09:17:49 INFO  [pacman.optimization.PacmanOptimization] Evaluation [2]: PacmanOptimizationConfiguration(ghosts=2, dotsPercentage=38, bigDots=3, lives=1, gamePlayTimeout=74492)
26/09/20 09:18:32 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=45, lives=0, gamePlayTime=43533, configuredTimeout=74492) with score: 2240
26/09/20 09:18:32 INFO  [pacman.optimization.PacmanOptimization] Evaluation [3]: PacmanOptimizationConfiguration(ghosts=1, dotsPercentage=38, bigDots=3, lives=2, gamePlayTimeout=74492)
26/09/20 09:19:45 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=2, gamePlayTime=73016, configuredTimeout=74492) with score: 4485
26/09/20 09:19:45 INFO  [pacman.optimization.PacmanOptimization] We have a new best solution.
26/09/20 09:19:45 INFO  [pacman.optimization.PacmanOptimization] Evaluation [4]: PacmanOptimizationConfiguration(ghosts=1, dotsPercentage=38, bigDots=4, lives=1, gamePlayTimeout=74492)
26/09/20 09:21:00 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=18, lives=1, gamePlayTime=74643, configuredTimeout=74492) with score: 3421
26/09/20 09:21:00 INFO  [pacman.optimization.PacmanOptimization] Evaluation [5]: PacmanOptimizationConfiguration(ghosts=1, dotsPercentage=38, bigDots=2, lives=1, gamePlayTimeout=74492)
26/09/20 09:22:15 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=25, lives=1, gamePlayTime=74628, configuredTimeout=74492) with score: 3351
26/09/20 09:22:15 INFO  [pacman.optimization.PacmanOptimization] Evaluation [6]: PacmanOptimizationConfiguration(ghosts=1, dotsPercentage=39, bigDots=3, lives=1, gamePlayTimeout=74492)
