27/09/20 17:20:00 INFO  [pacman.optimization.PacmanOptimization] Evaluation [1]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=22, bigDots=1, lives=5, gamePlayTimeout=13813)
27/09/20 17:20:14 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=6, lives=3, gamePlayTime=13820, configuredTimeout=13813) with score: 3340
27/09/20 17:20:14 INFO  [pacman.optimization.PacmanOptimization] We have a new best solution.
27/09/20 17:20:14 INFO  [pacman.optimization.PacmanOptimization] Evaluation [2]: PacmanOptimizationConfiguration(ghosts=4, dotsPercentage=22, bigDots=1, lives=5, gamePlayTimeout=13813)
27/09/20 17:20:28 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=12, lives=1, gamePlayTime=13814, configuredTimeout=13813) with score: 3480
27/09/20 17:20:28 INFO  [pacman.optimization.PacmanOptimization] Evaluation [3]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=22, bigDots=1, lives=4, gamePlayTimeout=13813)
27/09/20 17:20:34 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=61, lives=0, gamePlayTime=5802, configuredTimeout=13813) with score: 2309
27/09/20 17:20:34 INFO  [pacman.optimization.PacmanOptimization] Evaluation [4]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=22, bigDots=2, lives=5, gamePlayTimeout=13813)
27/09/20 17:20:47 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=8, lives=2, gamePlayTime=13814, configuredTimeout=13813) with score: 3420
27/09/20 17:20:47 INFO  [pacman.optimization.PacmanOptimization] Evaluation [5]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=23, bigDots=1, lives=5, gamePlayTimeout=13813)
27/09/20 17:21:01 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=5, lives=3, gamePlayTime=13814, configuredTimeout=13813) with score: 3350
27/09/20 17:21:01 INFO  [pacman.optimization.PacmanOptimization] We have a new best solution.
27/09/20 17:21:01 INFO  [pacman.optimization.PacmanOptimization] Evaluation [6]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=21, bigDots=1, lives=5, gamePlayTimeout=13813)
27/09/20 17:21:15 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=9, lives=1, gamePlayTime=13814, configuredTimeout=13813) with score: 3510
27/09/20 17:21:15 INFO  [pacman.optimization.PacmanOptimization] Evaluation [7]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=22, bigDots=1, lives=5, gamePlayTimeout=13913)
27/09/20 17:21:26 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=21, lives=0, gamePlayTime=10687, configuredTimeout=13913) with score: 2757
27/09/20 17:21:26 INFO  [pacman.optimization.PacmanOptimization] Evaluation [8]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=22, bigDots=1, lives=5, gamePlayTimeout=13713)
27/09/20 17:21:39 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=6, lives=4, gamePlayTime=13714, configuredTimeout=13713) with score: 3240
27/09/20 17:21:39 INFO  [pacman.optimization.PacmanOptimization] Evaluation [9]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=22, bigDots=1, lives=5, gamePlayTimeout=13813)
27/09/20 17:21:53 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=13, lives=1, gamePlayTime=13814, configuredTimeout=13813) with score: 3470
27/09/20 17:21:53 INFO  [pacman.optimization.PacmanOptimization] Evaluation [10]: PacmanOptimizationConfiguration(ghosts=4, dotsPercentage=22, bigDots=1, lives=5, gamePlayTimeout=13813)
27/09/20 17:22:07 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=15, lives=4, gamePlayTime=13814, configuredTimeout=13813) with score: 3150
27/09/20 17:22:07 INFO  [pacman.optimization.PacmanOptimization] Evaluation [11]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=22, bigDots=1, lives=4, gamePlayTimeout=13813)
27/09/20 17:22:07 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=86, lives=0, gamePlayTime=102, configuredTimeout=13813) with score: 2002
27/09/20 17:22:07 INFO  [pacman.optimization.PacmanOptimization] Evaluation [12]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=22, bigDots=2, lives=5, gamePlayTimeout=13813)
27/09/20 17:22:21 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=2, lives=3, gamePlayTime=13814, configuredTimeout=13813) with score: 3380
27/09/20 17:22:21 INFO  [pacman.optimization.PacmanOptimization] We have a new best solution.
27/09/20 17:22:21 INFO  [pacman.optimization.PacmanOptimization] Evaluation [13]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=23, bigDots=1, lives=5, gamePlayTimeout=13813)
27/09/20 17:22:35 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=5, lives=4, gamePlayTime=13814, configuredTimeout=13813) with score: 3250
27/09/20 17:22:35 INFO  [pacman.optimization.PacmanOptimization] Evaluation [14]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=21, bigDots=1, lives=5, gamePlayTimeout=13813)
27/09/20 17:22:48 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=15, lives=0, gamePlayTime=13102, configuredTimeout=13813) with score: 2842
27/09/20 17:22:48 INFO  [pacman.optimization.PacmanOptimization] Evaluation [15]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=22, bigDots=1, lives=5, gamePlayTimeout=13913)
27/09/20 17:23:02 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=27, lives=2, gamePlayTime=13914, configuredTimeout=13913) with score: 3230
27/09/20 17:23:02 INFO  [pacman.optimization.PacmanOptimization] Evaluation [16]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=22, bigDots=1, lives=5, gamePlayTimeout=13713)
27/09/20 17:23:16 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=14, lives=4, gamePlayTime=13714, configuredTimeout=13713) with score: 3160
27/09/20 17:23:16 INFO  [pacman.optimization.PacmanOptimization] Evaluation [17]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=22, bigDots=1, lives=5, gamePlayTimeout=13813)
27/09/20 17:23:16 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=83, lives=0, gamePlayTime=902, configuredTimeout=13813) with score: 2040
27/09/20 17:23:16 INFO  [pacman.optimization.PacmanOptimization] Evaluation [18]: PacmanOptimizationConfiguration(ghosts=4, dotsPercentage=22, bigDots=1, lives=5, gamePlayTimeout=13813)
27/09/20 17:23:30 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=16, lives=3, gamePlayTime=13814, configuredTimeout=13813) with score: 3240
27/09/20 17:23:30 INFO  [pacman.optimization.PacmanOptimization] Evaluation [19]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=22, bigDots=1, lives=4, gamePlayTimeout=13813)
27/09/20 17:23:44 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=7, lives=2, gamePlayTime=13814, configuredTimeout=13813) with score: 3430
27/09/20 17:23:44 INFO  [pacman.optimization.PacmanOptimization] Evaluation [20]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=22, bigDots=2, lives=5, gamePlayTimeout=13813)
27/09/20 17:23:58 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=17, lives=1, gamePlayTime=13814, configuredTimeout=13813) with score: 3430
27/09/20 17:23:58 INFO  [pacman.optimization.PacmanOptimization] Evaluation [21]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=23, bigDots=1, lives=5, gamePlayTimeout=13813)
27/09/20 17:24:04 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=66, lives=0, gamePlayTime=5702, configuredTimeout=13813) with score: 2258
27/09/20 17:24:04 INFO  [pacman.optimization.PacmanOptimization] Evaluation [22]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=21, bigDots=1, lives=5, gamePlayTimeout=13813)
27/09/20 17:24:17 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=12, lives=2, gamePlayTime=13814, configuredTimeout=13813) with score: 3380
27/09/20 17:24:17 INFO  [pacman.optimization.PacmanOptimization] Evaluation [23]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=22, bigDots=1, lives=5, gamePlayTimeout=13913)
27/09/20 17:24:31 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=9, lives=3, gamePlayTime=13914, configuredTimeout=13913) with score: 3310
27/09/20 17:24:31 INFO  [pacman.optimization.PacmanOptimization] Evaluation [24]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=22, bigDots=1, lives=5, gamePlayTimeout=13713)
27/09/20 17:24:35 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=74, lives=0, gamePlayTime=3402, configuredTimeout=13713) with score: 2156
27/09/20 17:24:35 INFO  [pacman.optimization.PacmanOptimization] Evaluation [25]: PacmanOptimizationConfiguration(ghosts=1, dotsPercentage=25, bigDots=3, lives=1, gamePlayTimeout=28227)
27/09/20 17:24:38 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=27, lives=0, gamePlayTime=3097, configuredTimeout=28227) with score: 2478
27/09/20 17:24:38 INFO  [pacman.optimization.PacmanOptimization] Evaluation [26]: PacmanOptimizationConfiguration(ghosts=2, dotsPercentage=25, bigDots=3, lives=1, gamePlayTimeout=28227)
27/09/20 17:24:54 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=3, lives=0, gamePlayTime=15901, configuredTimeout=28227) with score: 2846
27/09/20 17:24:54 INFO  [pacman.optimization.PacmanOptimization] Evaluation [27]: PacmanOptimizationConfiguration(ghosts=1, dotsPercentage=25, bigDots=3, lives=2, gamePlayTimeout=28227)
27/09/20 17:25:10 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=1, gamePlayTime=15978, configuredTimeout=28227) with score: 4477
27/09/20 17:25:10 INFO  [pacman.optimization.PacmanOptimization] We have a new best solution.
27/09/20 17:25:10 INFO  [pacman.optimization.PacmanOptimization] Evaluation [28]: PacmanOptimizationConfiguration(ghosts=1, dotsPercentage=25, bigDots=4, lives=1, gamePlayTimeout=28227)
27/09/20 17:25:16 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=19, lives=0, gamePlayTime=6497, configuredTimeout=28227) with score: 2592
27/09/20 17:25:16 INFO  [pacman.optimization.PacmanOptimization] Evaluation [29]: PacmanOptimizationConfiguration(ghosts=1, dotsPercentage=25, bigDots=2, lives=1, gamePlayTimeout=28227)
27/09/20 17:25:30 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=1, gamePlayTime=13572, configuredTimeout=28227) with score: 4453
27/09/20 17:25:30 INFO  [pacman.optimization.PacmanOptimization] Evaluation [30]: PacmanOptimizationConfiguration(ghosts=1, dotsPercentage=26, bigDots=3, lives=1, gamePlayTimeout=28227)
27/09/20 17:25:46 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=1, gamePlayTime=15619, configuredTimeout=28227) with score: 4473
27/09/20 17:25:46 INFO  [pacman.optimization.PacmanOptimization] Evaluation [31]: PacmanOptimizationConfiguration(ghosts=1, dotsPercentage=24, bigDots=3, lives=1, gamePlayTimeout=28227)
27/09/20 17:26:02 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=1, gamePlayTime=16698, configuredTimeout=28227) with score: 4484
27/09/20 17:26:02 INFO  [pacman.optimization.PacmanOptimization] We have a new best solution.
27/09/20 17:26:02 INFO  [pacman.optimization.PacmanOptimization] Evaluation [32]: PacmanOptimizationConfiguration(ghosts=1, dotsPercentage=25, bigDots=3, lives=1, gamePlayTimeout=28327)
27/09/20 17:26:02 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=103, lives=0, gamePlayTime=103, configuredTimeout=28327) with score: 1687
27/09/20 17:26:02 INFO  [pacman.optimization.PacmanOptimization] Evaluation [33]: PacmanOptimizationConfiguration(ghosts=1, dotsPercentage=25, bigDots=3, lives=1, gamePlayTimeout=28127)
27/09/20 17:26:18 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=1, gamePlayTime=15515, configuredTimeout=28127) with score: 4473
27/09/20 17:26:18 INFO  [pacman.optimization.PacmanOptimization] Evaluation [34]: PacmanOptimizationConfiguration(ghosts=1, dotsPercentage=25, bigDots=3, lives=1, gamePlayTimeout=28227)
27/09/20 17:26:28 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=1, gamePlayTime=10278, configuredTimeout=28227) with score: 4420
27/09/20 17:26:28 INFO  [pacman.optimization.PacmanOptimization] Evaluation [35]: PacmanOptimizationConfiguration(ghosts=2, dotsPercentage=25, bigDots=3, lives=1, gamePlayTimeout=28227)
27/09/20 17:26:30 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=73, lives=0, gamePlayTime=1602, configuredTimeout=28227) with score: 2003
27/09/20 17:26:30 INFO  [pacman.optimization.PacmanOptimization] Evaluation [36]: PacmanOptimizationConfiguration(ghosts=1, dotsPercentage=25, bigDots=3, lives=2, gamePlayTimeout=28227)
27/09/20 17:26:47 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=2, lives=0, gamePlayTime=17497, configuredTimeout=28227) with score: 2872
27/09/20 17:26:47 INFO  [pacman.optimization.PacmanOptimization] Evaluation [37]: PacmanOptimizationConfiguration(ghosts=1, dotsPercentage=25, bigDots=4, lives=1, gamePlayTimeout=28227)
27/09/20 17:26:49 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=95, lives=0, gamePlayTime=1502, configuredTimeout=28227) with score: 1782
27/09/20 17:26:49 INFO  [pacman.optimization.PacmanOptimization] Evaluation [38]: PacmanOptimizationConfiguration(ghosts=1, dotsPercentage=25, bigDots=2, lives=1, gamePlayTimeout=28227)
27/09/20 17:27:09 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=1, gamePlayTime=20613, configuredTimeout=28227) with score: 4523
27/09/20 17:27:09 INFO  [pacman.optimization.PacmanOptimization] We have a new best solution.
27/09/20 17:27:09 INFO  [pacman.optimization.PacmanOptimization] Evaluation [39]: PacmanOptimizationConfiguration(ghosts=1, dotsPercentage=26, bigDots=3, lives=1, gamePlayTimeout=28227)
27/09/20 17:27:23 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=1, gamePlayTime=13709, configuredTimeout=28227) with score: 4454
27/09/20 17:27:23 INFO  [pacman.optimization.PacmanOptimization] Evaluation [40]: PacmanOptimizationConfiguration(ghosts=1, dotsPercentage=24, bigDots=3, lives=1, gamePlayTimeout=28227)
27/09/20 17:27:29 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=44, lives=0, gamePlayTime=5702, configuredTimeout=28227) with score: 2334
27/09/20 17:27:29 INFO  [pacman.optimization.PacmanOptimization] Evaluation [41]: PacmanOptimizationConfiguration(ghosts=1, dotsPercentage=25, bigDots=3, lives=1, gamePlayTimeout=28327)
27/09/20 17:27:42 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=1, gamePlayTime=12898, configuredTimeout=28327) with score: 4445
27/09/20 17:27:42 INFO  [pacman.optimization.PacmanOptimization] Evaluation [42]: PacmanOptimizationConfiguration(ghosts=1, dotsPercentage=25, bigDots=3, lives=1, gamePlayTimeout=28127)
27/09/20 17:27:54 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=1, gamePlayTime=12715, configuredTimeout=28127) with score: 4445
27/09/20 17:27:54 INFO  [pacman.optimization.PacmanOptimization] Evaluation [43]: PacmanOptimizationConfiguration(ghosts=1, dotsPercentage=25, bigDots=3, lives=1, gamePlayTimeout=28227)
