09/10/20 20:37:44 INFO  [experiment.challenging.PacmanChallenging] Evaluation [1]: PacmanExperimentConfiguration(ghosts=3, dotsPercentage=41, bigDots=5, lives=1, gamePlayTimeout=30074)
09/10/20 20:37:52 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=false, dotsPresent=53, lives=0, gamePlayTime=7610, configuredTimeout=30074) with score: 3945
09/10/20 20:37:52 INFO  [experiment.challenging.PacmanChallenging] We have a new best solution.
09/10/20 20:37:52 INFO  [experiment.challenging.PacmanChallenging] Evaluation [2]: PacmanExperimentConfiguration(ghosts=4, dotsPercentage=41, bigDots=5, lives=1, gamePlayTimeout=30074)
09/10/20 20:37:54 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=false, dotsPresent=156, lives=0, gamePlayTime=1405, configuredTimeout=30074) with score: 2853
09/10/20 20:37:54 INFO  [experiment.challenging.PacmanChallenging] Evaluation [3]: PacmanExperimentConfiguration(ghosts=2, dotsPercentage=41, bigDots=5, lives=1, gamePlayTimeout=30074)
09/10/20 20:38:11 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=1, gamePlayTime=17526, configuredTimeout=30074) with score: 3474
09/10/20 20:38:11 INFO  [experiment.challenging.PacmanChallenging] Evaluation [4]: PacmanExperimentConfiguration(ghosts=3, dotsPercentage=41, bigDots=5, lives=2, gamePlayTimeout=30074)
09/10/20 20:38:27 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=false, dotsPresent=7, lives=0, gamePlayTime=15702, configuredTimeout=30074) with score: 4486
09/10/20 20:38:27 INFO  [experiment.challenging.PacmanChallenging] We have a new best solution.
09/10/20 20:38:27 INFO  [experiment.challenging.PacmanChallenging] Evaluation [5]: PacmanExperimentConfiguration(ghosts=3, dotsPercentage=41, bigDots=4, lives=1, gamePlayTimeout=30074)
09/10/20 20:38:41 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=false, dotsPresent=45, lives=0, gamePlayTime=14003, configuredTimeout=30074) with score: 4089
09/10/20 20:38:41 INFO  [experiment.challenging.PacmanChallenging] Evaluation [6]: PacmanExperimentConfiguration(ghosts=3, dotsPercentage=42, bigDots=5, lives=1, gamePlayTimeout=30074)
09/10/20 20:38:45 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=false, dotsPresent=92, lives=0, gamePlayTime=3402, configuredTimeout=30074) with score: 3513
09/10/20 20:38:45 INFO  [experiment.challenging.PacmanChallenging] Evaluation [7]: PacmanExperimentConfiguration(ghosts=3, dotsPercentage=40, bigDots=5, lives=1, gamePlayTimeout=30074)
09/10/20 20:38:48 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=false, dotsPresent=92, lives=0, gamePlayTime=3886, configuredTimeout=30074) with score: 3518
09/10/20 20:38:48 INFO  [experiment.challenging.PacmanChallenging] Evaluation [8]: PacmanExperimentConfiguration(ghosts=3, dotsPercentage=41, bigDots=5, lives=1, gamePlayTimeout=30174)
09/10/20 20:38:59 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=false, dotsPresent=21, lives=0, gamePlayTime=10902, configuredTimeout=30174) with score: 4297
09/10/20 20:38:59 INFO  [experiment.challenging.PacmanChallenging] Evaluation [9]: PacmanExperimentConfiguration(ghosts=3, dotsPercentage=41, bigDots=5, lives=1, gamePlayTimeout=29974)
09/10/20 20:39:04 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=false, dotsPresent=63, lives=0, gamePlayTime=4899, configuredTimeout=29974) with score: 3819
09/10/20 20:39:04 INFO  [experiment.challenging.PacmanChallenging] Evaluation [10]: PacmanExperimentConfiguration(ghosts=3, dotsPercentage=41, bigDots=5, lives=1, gamePlayTimeout=30074)
09/10/20 20:39:14 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=1, gamePlayTime=10149, configuredTimeout=30074) with score: 3400
09/10/20 20:39:14 INFO  [experiment.challenging.PacmanChallenging] Evaluation [11]: PacmanExperimentConfiguration(ghosts=4, dotsPercentage=41, bigDots=5, lives=1, gamePlayTimeout=30074)
