29/09/20 20:10:21 INFO  [pacman.optimization.PacmanOptimization] Evaluation [1]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=38, bigDots=3, lives=4, gamePlayTimeout=26063)
29/09/20 20:10:34 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=5, lives=0, gamePlayTime=12311, configuredTimeout=26063) with score: 2812
29/09/20 20:10:34 INFO  [pacman.optimization.PacmanOptimization] We have a new best solution.
29/09/20 20:10:34 INFO  [pacman.optimization.PacmanOptimization] Evaluation [2]: PacmanOptimizationConfiguration(ghosts=4, dotsPercentage=38, bigDots=3, lives=4, gamePlayTimeout=26063)
29/09/20 20:10:37 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=130, lives=0, gamePlayTime=2603, configuredTimeout=26063) with score: 1465
29/09/20 20:10:37 INFO  [pacman.optimization.PacmanOptimization] Evaluation [3]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=38, bigDots=3, lives=5, gamePlayTimeout=26063)
29/09/20 20:10:55 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=9, lives=0, gamePlayTime=18303, configuredTimeout=26063) with score: 2832
29/09/20 20:10:55 INFO  [pacman.optimization.PacmanOptimization] Evaluation [4]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=38, bigDots=3, lives=3, gamePlayTimeout=26063)
29/09/20 20:11:07 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=36, lives=0, gamePlayTime=12201, configuredTimeout=26063) with score: 2501
29/09/20 20:11:07 INFO  [pacman.optimization.PacmanOptimization] Evaluation [5]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=38, bigDots=4, lives=4, gamePlayTimeout=26063)
29/09/20 20:11:21 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=4, gamePlayTime=13786, configuredTimeout=26063) with score: 4177
29/09/20 20:11:21 INFO  [pacman.optimization.PacmanOptimization] We have a new best solution.
29/09/20 20:11:21 INFO  [pacman.optimization.PacmanOptimization] Evaluation [6]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=38, bigDots=2, lives=4, gamePlayTimeout=26063)
29/09/20 20:11:37 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=13, lives=0, gamePlayTime=15986, configuredTimeout=26063) with score: 2769
29/09/20 20:11:37 INFO  [pacman.optimization.PacmanOptimization] Evaluation [7]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=39, bigDots=3, lives=4, gamePlayTimeout=26063)
29/09/20 20:11:45 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=70, lives=0, gamePlayTime=7797, configuredTimeout=26063) with score: 2117
29/09/20 20:11:45 INFO  [pacman.optimization.PacmanOptimization] Evaluation [8]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=37, bigDots=3, lives=4, gamePlayTimeout=26063)
29/09/20 20:12:03 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=3, gamePlayTime=18096, configuredTimeout=26063) with score: 4320
29/09/20 20:12:03 INFO  [pacman.optimization.PacmanOptimization] We have a new best solution.
29/09/20 20:12:03 INFO  [pacman.optimization.PacmanOptimization] Evaluation [9]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=38, bigDots=3, lives=4, gamePlayTimeout=26163)
29/09/20 20:12:19 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=2, gamePlayTime=15601, configuredTimeout=26163) with score: 4394
29/09/20 20:12:19 INFO  [pacman.optimization.PacmanOptimization] We have a new best solution.
29/09/20 20:12:19 INFO  [pacman.optimization.PacmanOptimization] Evaluation [10]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=38, bigDots=3, lives=4, gamePlayTimeout=25963)
29/09/20 20:12:27 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=60, lives=0, gamePlayTime=8301, configuredTimeout=25963) with score: 2223
29/09/20 20:12:27 INFO  [pacman.optimization.PacmanOptimization] Evaluation [11]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=38, bigDots=3, lives=4, gamePlayTimeout=26063)
29/09/20 20:12:42 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=1, gamePlayTime=15316, configuredTimeout=26063) with score: 4492
29/09/20 20:12:42 INFO  [pacman.optimization.PacmanOptimization] We have a new best solution.
29/09/20 20:12:42 INFO  [pacman.optimization.PacmanOptimization] Evaluation [12]: PacmanOptimizationConfiguration(ghosts=4, dotsPercentage=38, bigDots=3, lives=4, gamePlayTimeout=26063)
29/09/20 20:12:53 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=42, lives=0, gamePlayTime=10475, configuredTimeout=26063) with score: 2424
29/09/20 20:12:53 INFO  [pacman.optimization.PacmanOptimization] Evaluation [13]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=38, bigDots=3, lives=5, gamePlayTimeout=26063)
29/09/20 20:12:53 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=152, lives=0, gamePlayTime=203, configuredTimeout=26063) with score: 1221
29/09/20 20:12:53 INFO  [pacman.optimization.PacmanOptimization] Evaluation [14]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=38, bigDots=3, lives=3, gamePlayTimeout=26063)
29/09/20 20:13:05 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=16, lives=0, gamePlayTime=12485, configuredTimeout=26063) with score: 2704
29/09/20 20:13:05 INFO  [pacman.optimization.PacmanOptimization] Evaluation [15]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=38, bigDots=4, lives=4, gamePlayTimeout=26063)
29/09/20 20:13:14 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=42, lives=0, gamePlayTime=8902, configuredTimeout=26063) with score: 2408
29/09/20 20:13:14 INFO  [pacman.optimization.PacmanOptimization] Evaluation [16]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=38, bigDots=2, lives=4, gamePlayTimeout=26063)
29/09/20 20:13:33 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=3, gamePlayTime=18309, configuredTimeout=26063) with score: 4322
29/09/20 20:13:33 INFO  [pacman.optimization.PacmanOptimization] Evaluation [17]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=39, bigDots=3, lives=4, gamePlayTimeout=26063)
29/09/20 20:13:52 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=2, lives=0, gamePlayTime=18905, configuredTimeout=26063) with score: 2908
29/09/20 20:13:52 INFO  [pacman.optimization.PacmanOptimization] Evaluation [18]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=37, bigDots=3, lives=4, gamePlayTimeout=26063)
29/09/20 20:14:04 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=21, lives=0, gamePlayTime=12802, configuredTimeout=26063) with score: 2657
29/09/20 20:14:04 INFO  [pacman.optimization.PacmanOptimization] Evaluation [19]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=38, bigDots=3, lives=4, gamePlayTimeout=26163)
