02/10/20 12:27:39 INFO  [pacman.optimization.PacmanOptimization] Evaluation [1]: PacmanOptimizationConfiguration(ghosts=2, dotsPercentage=30, bigDots=1, lives=1, gamePlayTimeout=34994)
02/10/20 12:28:03 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=1, gamePlayTime=23652, configuredTimeout=34994) with score: 4486
02/10/20 12:28:03 INFO  [pacman.optimization.PacmanOptimization] We have a new best solution.
02/10/20 12:28:03 INFO  [pacman.optimization.PacmanOptimization] Evaluation [2]: PacmanOptimizationConfiguration(ghosts=3, dotsPercentage=30, bigDots=1, lives=1, gamePlayTimeout=34994)
02/10/20 12:28:16 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=21, lives=0, gamePlayTime=12287, configuredTimeout=34994) with score: 2562
02/10/20 12:28:16 INFO  [pacman.optimization.PacmanOptimization] Evaluation [3]: PacmanOptimizationConfiguration(ghosts=1, dotsPercentage=30, bigDots=1, lives=1, gamePlayTimeout=34994)
02/10/20 12:28:21 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=95, lives=0, gamePlayTime=5403, configuredTimeout=34994) with score: 1754
02/10/20 12:28:21 INFO  [pacman.optimization.PacmanOptimization] Evaluation [4]: PacmanOptimizationConfiguration(ghosts=2, dotsPercentage=30, bigDots=1, lives=2, gamePlayTimeout=34994)
02/10/20 12:28:37 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=13, lives=0, gamePlayTime=16002, configuredTimeout=34994) with score: 2680
02/10/20 12:28:37 INFO  [pacman.optimization.PacmanOptimization] Evaluation [5]: PacmanOptimizationConfiguration(ghosts=2, dotsPercentage=30, bigDots=2, lives=1, gamePlayTimeout=34994)
02/10/20 12:28:46 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=71, lives=0, gamePlayTime=8702, configuredTimeout=34994) with score: 2027
