02/10/20 07:14:03 INFO  [pacman.optimization.PacmanOptimization] Evaluation [1]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=24, bigDots=3, lives=4, gamePlayTimeout=20473)
02/10/20 07:14:18 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=1, gamePlayTime=14501, configuredTimeout=20473) with score: 4540
02/10/20 07:14:18 INFO  [pacman.optimization.PacmanOptimization] We have a new best solution.
02/10/20 07:14:18 INFO  [pacman.optimization.PacmanOptimization] Evaluation [2]: PacmanOptimizationConfiguration(ghosts=4, dotsPercentage=24, bigDots=3, lives=4, gamePlayTimeout=20473)
02/10/20 07:14:37 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=2, gamePlayTime=19299, configuredTimeout=20473) with score: 4488
02/10/20 07:14:37 INFO  [pacman.optimization.PacmanOptimization] Evaluation [3]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=24, bigDots=3, lives=5, gamePlayTimeout=20473)
02/10/20 07:14:51 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=3, gamePlayTime=14007, configuredTimeout=20473) with score: 4335
02/10/20 07:14:51 INFO  [pacman.optimization.PacmanOptimization] Evaluation [4]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=24, bigDots=3, lives=3, gamePlayTimeout=20473)
02/10/20 07:15:02 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=1, gamePlayTime=10297, configuredTimeout=20473) with score: 4498
02/10/20 07:15:02 INFO  [pacman.optimization.PacmanOptimization] Evaluation [5]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=24, bigDots=4, lives=4, gamePlayTimeout=20473)
02/10/20 07:15:10 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=3, gamePlayTime=8349, configuredTimeout=20473) with score: 4278
02/10/20 07:15:10 INFO  [pacman.optimization.PacmanOptimization] Evaluation [6]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=24, bigDots=2, lives=4, gamePlayTimeout=20473)
02/10/20 07:15:24 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=3, gamePlayTime=13572, configuredTimeout=20473) with score: 4330
02/10/20 07:15:24 INFO  [pacman.optimization.PacmanOptimization] Evaluation [7]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=25, bigDots=3, lives=4, gamePlayTimeout=20473)
02/10/20 07:15:33 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=2, gamePlayTime=9258, configuredTimeout=20473) with score: 4387
02/10/20 07:15:33 INFO  [pacman.optimization.PacmanOptimization] Evaluation [8]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=23, bigDots=3, lives=4, gamePlayTimeout=20473)
02/10/20 07:15:43 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=2, gamePlayTime=10109, configuredTimeout=20473) with score: 4396
02/10/20 07:15:43 INFO  [pacman.optimization.PacmanOptimization] Evaluation [9]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=24, bigDots=3, lives=4, gamePlayTimeout=20573)
02/10/20 07:15:49 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=41, lives=0, gamePlayTime=6486, configuredTimeout=20573) with score: 2449
02/10/20 07:15:49 INFO  [pacman.optimization.PacmanOptimization] Evaluation [10]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=24, bigDots=3, lives=4, gamePlayTimeout=20373)
02/10/20 07:15:50 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=91, lives=0, gamePlayTime=602, configuredTimeout=20373) with score: 1892
02/10/20 07:15:50 INFO  [pacman.optimization.PacmanOptimization] Evaluation [11]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=24, bigDots=3, lives=4, gamePlayTimeout=20473)
02/10/20 07:16:01 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=3, gamePlayTime=11358, configuredTimeout=20473) with score: 4308
02/10/20 07:16:01 INFO  [pacman.optimization.PacmanOptimization] Evaluation [12]: PacmanOptimizationConfiguration(ghosts=4, dotsPercentage=24, bigDots=3, lives=4, gamePlayTimeout=20473)
02/10/20 07:16:13 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=13, lives=0, gamePlayTime=12086, configuredTimeout=20473) with score: 2786
02/10/20 07:16:13 INFO  [pacman.optimization.PacmanOptimization] Evaluation [13]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=24, bigDots=3, lives=5, gamePlayTimeout=20473)
02/10/20 07:16:26 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=4, gamePlayTime=12716, configuredTimeout=20473) with score: 4222
02/10/20 07:16:26 INFO  [pacman.optimization.PacmanOptimization] Evaluation [14]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=24, bigDots=3, lives=3, gamePlayTimeout=20473)
02/10/20 07:16:36 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=14, lives=0, gamePlayTime=10072, configuredTimeout=20473) with score: 2755
02/10/20 07:16:36 INFO  [pacman.optimization.PacmanOptimization] Evaluation [15]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=24, bigDots=4, lives=4, gamePlayTimeout=20473)
02/10/20 07:16:37 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=93, lives=0, gamePlayTime=502, configuredTimeout=20473) with score: 1870
02/10/20 07:16:37 INFO  [pacman.optimization.PacmanOptimization] Evaluation [16]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=24, bigDots=2, lives=4, gamePlayTimeout=20473)
02/10/20 07:16:42 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=64, lives=0, gamePlayTime=5302, configuredTimeout=20473) with score: 2208
02/10/20 07:16:42 INFO  [pacman.optimization.PacmanOptimization] Evaluation [17]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=25, bigDots=3, lives=4, gamePlayTimeout=20473)
02/10/20 07:17:05 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=1, lives=3, gamePlayTime=22560, configuredTimeout=20473) with score: 3410
02/10/20 07:17:05 INFO  [pacman.optimization.PacmanOptimization] Evaluation [18]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=23, bigDots=3, lives=4, gamePlayTimeout=20473)
02/10/20 07:17:20 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=2, gamePlayTime=14918, configuredTimeout=20473) with score: 4444
02/10/20 07:17:20 INFO  [pacman.optimization.PacmanOptimization] Evaluation [19]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=24, bigDots=3, lives=4, gamePlayTimeout=20573)
02/10/20 07:17:28 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=20, lives=0, gamePlayTime=8402, configuredTimeout=20573) with score: 2678
02/10/20 07:17:28 INFO  [pacman.optimization.PacmanOptimization] Evaluation [20]: PacmanOptimizationConfiguration(ghosts=5, dotsPercentage=24, bigDots=3, lives=4, gamePlayTimeout=20373)
02/10/20 07:17:44 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=1, gamePlayTime=15481, configuredTimeout=20373) with score: 4551
02/10/20 07:17:44 INFO  [pacman.optimization.PacmanOptimization] We have a new best solution.
