11/10/20 07:26:40 INFO  [experiment.challenging.PacmanChallenging] Evaluation [1]: PacmanExperimentConfiguration(ghosts=3, dotsPercentage=15, bigDots=4, lives=5, gamePlayTimeout=14647)
11/10/20 07:26:56 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=false, dotsPresent=1, lives=4, gamePlayTime=15073, configuredTimeout=14647) with score: 4294
11/10/20 07:26:56 INFO  [experiment.challenging.PacmanChallenging] We have a new best solution.
11/10/20 07:26:56 INFO  [experiment.challenging.PacmanChallenging] Evaluation [2]: PacmanExperimentConfiguration(ghosts=4, dotsPercentage=15, bigDots=4, lives=5, gamePlayTimeout=14647)
11/10/20 07:27:08 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=4, gamePlayTime=11876, configuredTimeout=14647) with score: 3272
11/10/20 07:27:08 INFO  [experiment.challenging.PacmanChallenging] Evaluation [3]: PacmanExperimentConfiguration(ghosts=2, dotsPercentage=15, bigDots=4, lives=5, gamePlayTimeout=14647)
11/10/20 07:27:20 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=4, gamePlayTime=11702, configuredTimeout=14647) with score: 3270
11/10/20 07:27:20 INFO  [experiment.challenging.PacmanChallenging] Evaluation [4]: PacmanExperimentConfiguration(ghosts=3, dotsPercentage=15, bigDots=4, lives=4, gamePlayTimeout=14647)
11/10/20 07:27:29 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=4, gamePlayTime=8796, configuredTimeout=14647) with score: 3241
11/10/20 07:27:29 INFO  [experiment.challenging.PacmanChallenging] Evaluation [5]: PacmanExperimentConfiguration(ghosts=3, dotsPercentage=15, bigDots=5, lives=5, gamePlayTimeout=14647)
11/10/20 07:27:34 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=5, gamePlayTime=5203, configuredTimeout=14647) with score: 3105
11/10/20 07:27:34 INFO  [experiment.challenging.PacmanChallenging] Evaluation [6]: PacmanExperimentConfiguration(ghosts=3, dotsPercentage=15, bigDots=3, lives=5, gamePlayTimeout=14647)
11/10/20 07:27:42 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=false, dotsPresent=16, lives=0, gamePlayTime=8403, configuredTimeout=14647) with score: 4477
11/10/20 07:27:42 INFO  [experiment.challenging.PacmanChallenging] Evaluation [7]: PacmanExperimentConfiguration(ghosts=3, dotsPercentage=16, bigDots=4, lives=5, gamePlayTimeout=14647)
11/10/20 07:27:51 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=5, gamePlayTime=8668, configuredTimeout=14647) with score: 3140
11/10/20 07:27:51 INFO  [experiment.challenging.PacmanChallenging] Evaluation [8]: PacmanExperimentConfiguration(ghosts=3, dotsPercentage=14, bigDots=4, lives=5, gamePlayTimeout=14647)
11/10/20 07:27:54 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=5, gamePlayTime=3245, configuredTimeout=14647) with score: 3085
11/10/20 07:27:54 INFO  [experiment.challenging.PacmanChallenging] Evaluation [9]: PacmanExperimentConfiguration(ghosts=3, dotsPercentage=15, bigDots=4, lives=5, gamePlayTimeout=14747)
11/10/20 07:28:09 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=false, dotsPresent=1, lives=4, gamePlayTime=14881, configuredTimeout=14747) with score: 4291
11/10/20 07:28:09 INFO  [experiment.challenging.PacmanChallenging] Evaluation [10]: PacmanExperimentConfiguration(ghosts=3, dotsPercentage=15, bigDots=4, lives=5, gamePlayTimeout=14547)
