16/10/20 20:50:49 INFO  [experiment.challenging.PacmanChallenging] Evaluation [1]: PacmanExperimentConfiguration(ghosts=1, dotsPercentage=24, bigDots=1, lives=5, gamePlayTimeout=29480)
16/10/20 20:51:11 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=5, gamePlayTime=20991, configuredTimeout=29480) with score: 3115
16/10/20 20:51:11 INFO  [experiment.challenging.PacmanChallenging] We have a new best solution.
16/10/20 20:51:11 INFO  [experiment.challenging.PacmanChallenging] Evaluation [2]: PacmanExperimentConfiguration(ghosts=2, dotsPercentage=24, bigDots=1, lives=5, gamePlayTimeout=29480)
16/10/20 20:51:32 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=4, gamePlayTime=21216, configuredTimeout=29480) with score: 3217
16/10/20 20:51:32 INFO  [experiment.challenging.PacmanChallenging] We have a new best solution.
16/10/20 20:51:32 INFO  [experiment.challenging.PacmanChallenging] Evaluation [3]: PacmanExperimentConfiguration(ghosts=1, dotsPercentage=24, bigDots=1, lives=4, gamePlayTimeout=29480)
16/10/20 20:51:54 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=4, gamePlayTime=22235, configuredTimeout=29480) with score: 3227
16/10/20 20:51:54 INFO  [experiment.challenging.PacmanChallenging] We have a new best solution.
16/10/20 20:51:54 INFO  [experiment.challenging.PacmanChallenging] Evaluation [4]: PacmanExperimentConfiguration(ghosts=1, dotsPercentage=24, bigDots=2, lives=5, gamePlayTimeout=29480)
16/10/20 20:52:09 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=5, gamePlayTime=14730, configuredTimeout=29480) with score: 3052
16/10/20 20:52:09 INFO  [experiment.challenging.PacmanChallenging] Evaluation [5]: PacmanExperimentConfiguration(ghosts=1, dotsPercentage=25, bigDots=1, lives=5, gamePlayTimeout=29480)
16/10/20 20:52:30 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=3, gamePlayTime=21488, configuredTimeout=29480) with score: 3320
16/10/20 20:52:30 INFO  [experiment.challenging.PacmanChallenging] We have a new best solution.
16/10/20 20:52:30 INFO  [experiment.challenging.PacmanChallenging] Evaluation [6]: PacmanExperimentConfiguration(ghosts=1, dotsPercentage=23, bigDots=1, lives=5, gamePlayTimeout=29480)
16/10/20 20:52:51 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=5, gamePlayTime=20476, configuredTimeout=29480) with score: 3109
16/10/20 20:52:51 INFO  [experiment.challenging.PacmanChallenging] Evaluation [7]: PacmanExperimentConfiguration(ghosts=1, dotsPercentage=24, bigDots=1, lives=5, gamePlayTimeout=29580)
16/10/20 20:53:10 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=5, gamePlayTime=18886, configuredTimeout=29580) with score: 3093
16/10/20 20:53:10 INFO  [experiment.challenging.PacmanChallenging] Evaluation [8]: PacmanExperimentConfiguration(ghosts=1, dotsPercentage=24, bigDots=1, lives=5, gamePlayTimeout=29380)
16/10/20 20:53:33 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=5, gamePlayTime=22812, configuredTimeout=29380) with score: 3134
16/10/20 20:53:33 INFO  [experiment.challenging.PacmanChallenging] Evaluation [9]: PacmanExperimentConfiguration(ghosts=1, dotsPercentage=24, bigDots=1, lives=5, gamePlayTimeout=29480)
16/10/20 20:53:49 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=5, gamePlayTime=16186, configuredTimeout=29480) with score: 3067
16/10/20 20:53:49 INFO  [experiment.challenging.PacmanChallenging] Evaluation [10]: PacmanExperimentConfiguration(ghosts=2, dotsPercentage=24, bigDots=1, lives=5, gamePlayTimeout=29480)
16/10/20 20:54:16 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=3, gamePlayTime=27562, configuredTimeout=29480) with score: 3380
16/10/20 20:54:16 INFO  [experiment.challenging.PacmanChallenging] We have a new best solution.
16/10/20 20:54:16 INFO  [experiment.challenging.PacmanChallenging] Evaluation [11]: PacmanExperimentConfiguration(ghosts=1, dotsPercentage=24, bigDots=1, lives=4, gamePlayTimeout=29480)
16/10/20 20:54:39 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=4, gamePlayTime=22286, configuredTimeout=29480) with score: 3228
16/10/20 20:54:39 INFO  [experiment.challenging.PacmanChallenging] Evaluation [12]: PacmanExperimentConfiguration(ghosts=1, dotsPercentage=24, bigDots=2, lives=5, gamePlayTimeout=29480)
16/10/20 20:54:58 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=5, gamePlayTime=19389, configuredTimeout=29480) with score: 3099
16/10/20 20:54:58 INFO  [experiment.challenging.PacmanChallenging] Evaluation [13]: PacmanExperimentConfiguration(ghosts=1, dotsPercentage=25, bigDots=1, lives=5, gamePlayTimeout=29480)
16/10/20 20:55:16 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=4, gamePlayTime=17791, configuredTimeout=29480) with score: 3183
16/10/20 20:55:16 INFO  [experiment.challenging.PacmanChallenging] Evaluation [14]: PacmanExperimentConfiguration(ghosts=1, dotsPercentage=23, bigDots=1, lives=5, gamePlayTimeout=29480)
16/10/20 20:55:33 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=false, dotsPresent=1, lives=0, gamePlayTime=17213, configuredTimeout=29480) with score: 4567
16/10/20 20:55:33 INFO  [experiment.challenging.PacmanChallenging] We have a new best solution.
16/10/20 20:55:33 INFO  [experiment.challenging.PacmanChallenging] Evaluation [15]: PacmanExperimentConfiguration(ghosts=1, dotsPercentage=24, bigDots=1, lives=5, gamePlayTimeout=29580)
16/10/20 20:55:50 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=4, gamePlayTime=17096, configuredTimeout=29580) with score: 3175
16/10/20 20:55:50 INFO  [experiment.challenging.PacmanChallenging] Evaluation [16]: PacmanExperimentConfiguration(ghosts=1, dotsPercentage=24, bigDots=1, lives=5, gamePlayTimeout=29380)
16/10/20 20:56:10 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=3, gamePlayTime=19601, configuredTimeout=29380) with score: 3302
16/10/20 20:56:10 INFO  [experiment.challenging.PacmanChallenging] Evaluation [17]: PacmanExperimentConfiguration(ghosts=1, dotsPercentage=24, bigDots=1, lives=5, gamePlayTimeout=29480)
16/10/20 20:56:30 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=2, gamePlayTime=20493, configuredTimeout=29480) with score: 3410
16/10/20 20:56:30 INFO  [experiment.challenging.PacmanChallenging] Evaluation [18]: PacmanExperimentConfiguration(ghosts=2, dotsPercentage=24, bigDots=1, lives=5, gamePlayTimeout=29480)
16/10/20 20:56:54 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=1, gamePlayTime=24087, configuredTimeout=29480) with score: 3546
16/10/20 20:56:54 INFO  [experiment.challenging.PacmanChallenging] Evaluation [19]: PacmanExperimentConfiguration(ghosts=1, dotsPercentage=24, bigDots=1, lives=4, gamePlayTimeout=29480)
16/10/20 20:57:12 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=2, gamePlayTime=17586, configuredTimeout=29480) with score: 3381
16/10/20 20:57:12 INFO  [experiment.challenging.PacmanChallenging] Evaluation [20]: PacmanExperimentConfiguration(ghosts=1, dotsPercentage=24, bigDots=2, lives=5, gamePlayTimeout=29480)
16/10/20 20:57:24 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=5, gamePlayTime=11953, configuredTimeout=29480) with score: 3024
16/10/20 20:57:24 INFO  [experiment.challenging.PacmanChallenging] Evaluation [21]: PacmanExperimentConfiguration(ghosts=1, dotsPercentage=25, bigDots=1, lives=5, gamePlayTimeout=29480)
16/10/20 20:57:46 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=4, gamePlayTime=21710, configuredTimeout=29480) with score: 3222
16/10/20 20:57:46 INFO  [experiment.challenging.PacmanChallenging] Evaluation [22]: PacmanExperimentConfiguration(ghosts=1, dotsPercentage=23, bigDots=1, lives=5, gamePlayTimeout=29480)
16/10/20 20:58:03 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=5, gamePlayTime=17486, configuredTimeout=29480) with score: 3080
16/10/20 20:58:03 INFO  [experiment.challenging.PacmanChallenging] Evaluation [23]: PacmanExperimentConfiguration(ghosts=1, dotsPercentage=24, bigDots=1, lives=5, gamePlayTimeout=29580)
16/10/20 20:58:22 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=5, gamePlayTime=18886, configuredTimeout=29580) with score: 3093
16/10/20 20:58:22 INFO  [experiment.challenging.PacmanChallenging] Evaluation [24]: PacmanExperimentConfiguration(ghosts=1, dotsPercentage=24, bigDots=1, lives=5, gamePlayTimeout=29380)
16/10/20 20:58:39 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=5, gamePlayTime=17003, configuredTimeout=29380) with score: 3076
16/10/20 20:58:39 INFO  [experiment.challenging.PacmanChallenging] Evaluation [25]: PacmanExperimentConfiguration(ghosts=3, dotsPercentage=25, bigDots=5, lives=2, gamePlayTimeout=23578)
16/10/20 20:58:53 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=1, gamePlayTime=13693, configuredTimeout=23578) with score: 3501
16/10/20 20:58:53 INFO  [experiment.challenging.PacmanChallenging] Evaluation [26]: PacmanExperimentConfiguration(ghosts=4, dotsPercentage=25, bigDots=5, lives=2, gamePlayTimeout=23578)
16/10/20 20:59:03 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=false, dotsPresent=1, lives=0, gamePlayTime=10431, configuredTimeout=23578) with score: 4558
16/10/20 20:59:03 INFO  [experiment.challenging.PacmanChallenging] Evaluation [27]: PacmanExperimentConfiguration(ghosts=2, dotsPercentage=25, bigDots=5, lives=2, gamePlayTimeout=23578)
16/10/20 20:59:03 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=false, dotsPresent=102, lives=0, gamePlayTime=102, configuredTimeout=23578) with score: 3445
16/10/20 20:59:03 INFO  [experiment.challenging.PacmanChallenging] Evaluation [28]: PacmanExperimentConfiguration(ghosts=3, dotsPercentage=25, bigDots=5, lives=3, gamePlayTimeout=23578)
16/10/20 20:59:15 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=1, gamePlayTime=11602, configuredTimeout=23578) with score: 3480
16/10/20 20:59:15 INFO  [experiment.challenging.PacmanChallenging] Evaluation [29]: PacmanExperimentConfiguration(ghosts=3, dotsPercentage=25, bigDots=5, lives=1, gamePlayTimeout=23578)
16/10/20 20:59:26 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=false, dotsPresent=21, lives=0, gamePlayTime=10986, configuredTimeout=23578) with score: 4364
16/10/20 20:59:26 INFO  [experiment.challenging.PacmanChallenging] Evaluation [30]: PacmanExperimentConfiguration(ghosts=3, dotsPercentage=25, bigDots=4, lives=2, gamePlayTimeout=23578)
16/10/20 20:59:41 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=1, gamePlayTime=14603, configuredTimeout=23578) with score: 3510
16/10/20 20:59:41 INFO  [experiment.challenging.PacmanChallenging] Evaluation [31]: PacmanExperimentConfiguration(ghosts=3, dotsPercentage=26, bigDots=5, lives=2, gamePlayTimeout=23578)
16/10/20 20:59:50 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=false, dotsPresent=19, lives=0, gamePlayTime=9201, configuredTimeout=23578) with score: 4366
16/10/20 20:59:50 INFO  [experiment.challenging.PacmanChallenging] Evaluation [32]: PacmanExperimentConfiguration(ghosts=3, dotsPercentage=24, bigDots=5, lives=2, gamePlayTimeout=23578)
16/10/20 20:59:59 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=2, gamePlayTime=9198, configuredTimeout=23578) with score: 3356
16/10/20 20:59:59 INFO  [experiment.challenging.PacmanChallenging] Evaluation [33]: PacmanExperimentConfiguration(ghosts=3, dotsPercentage=25, bigDots=5, lives=2, gamePlayTimeout=23678)
16/10/20 21:00:02 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=false, dotsPresent=49, lives=0, gamePlayTime=3101, configuredTimeout=23678) with score: 4004
16/10/20 21:00:02 INFO  [experiment.challenging.PacmanChallenging] Evaluation [34]: PacmanExperimentConfiguration(ghosts=3, dotsPercentage=25, bigDots=5, lives=2, gamePlayTimeout=23478)
16/10/20 21:00:06 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=2, gamePlayTime=3484, configuredTimeout=23478) with score: 3300
16/10/20 21:00:06 INFO  [experiment.challenging.PacmanChallenging] Evaluation [35]: PacmanExperimentConfiguration(ghosts=1, dotsPercentage=27, bigDots=1, lives=4, gamePlayTimeout=27291)
16/10/20 21:00:25 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=4, gamePlayTime=19593, configuredTimeout=27291) with score: 3223
16/10/20 21:00:25 INFO  [experiment.challenging.PacmanChallenging] Evaluation [36]: PacmanExperimentConfiguration(ghosts=2, dotsPercentage=27, bigDots=1, lives=4, gamePlayTimeout=27291)
16/10/20 21:00:45 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=3, gamePlayTime=19486, configuredTimeout=27291) with score: 3321
16/10/20 21:00:45 INFO  [experiment.challenging.PacmanChallenging] Evaluation [37]: PacmanExperimentConfiguration(ghosts=1, dotsPercentage=27, bigDots=1, lives=5, gamePlayTimeout=27291)
16/10/20 21:01:03 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=5, gamePlayTime=18686, configuredTimeout=27291) with score: 3113
16/10/20 21:01:03 INFO  [experiment.challenging.PacmanChallenging] Evaluation [38]: PacmanExperimentConfiguration(ghosts=1, dotsPercentage=27, bigDots=1, lives=3, gamePlayTimeout=27291)
16/10/20 21:01:27 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=3, gamePlayTime=23283, configuredTimeout=27291) with score: 3359
16/10/20 21:01:27 INFO  [experiment.challenging.PacmanChallenging] Evaluation [39]: PacmanExperimentConfiguration(ghosts=1, dotsPercentage=27, bigDots=2, lives=4, gamePlayTimeout=27291)
